rec_time	UTC	Dikablis Professional_Eye Data_Original_Pupil X	Dikablis Professional_Eye Data_Original_Pupil Y	Dikablis Professional_Eye Data_Original_Left Eye_Pupil X	Dikablis Professional_Eye Data_Original_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Original_Right Eye_Pupil X	Dikablis Professional_Eye Data_Original_Right Eye_Pupil Y
00:00:01.880	1440181476527			162.341	164.171		
00:00:01.889	1440181476536	181.09	162.624			199.84	161.077
00:00:01.897	1440181476544			162.341	164.171		
00:00:01.906	1440181476553	181.09	162.624			199.84	161.077
00:00:01.914	1440181476561			162.341	164.171		
00:00:01.922	1440181476569	181.09	162.624			199.84	161.077
00:00:01.930	1440181476577			162.341	164.171		
00:00:01.939	1440181476586	181.09	162.624			199.84	161.077
00:00:01.947	1440181476594			162.341	164.171		
00:00:01.956	1440181476603	181.038	162.116			199.793	160.635
00:00:01.964	1440181476611			162.283	163.596		
00:00:01.972	1440181476619	181.01	162.577			199.799	161.008
00:00:01.980	1440181476627			162.22	164.145		
00:00:01.989	1440181476636	181.011	162.109			199.816	160.633
00:00:01.997	1440181476644			162.205	163.585		
00:00:02.006	1440181476653	181.084	162.583			199.849	161.142
00:00:02.014	1440181476661			162.319	164.024		
00:00:02.022	1440181476669	181.04	161.972			199.852	160.541
00:00:02.030	1440181476677			162.227	163.404		
00:00:02.039	1440181476686	181.044	162.542			199.868	161.101
00:00:02.047	1440181476694			162.221	163.983		
00:00:02.056	1440181476703	180.986	161.968			199.804	160.537
00:00:02.064	1440181476711			162.169	163.399		
00:00:02.072	1440181476719	180.913	162.57			199.7	161.092
00:00:02.080	1440181476727			162.126	164.048		
00:00:02.089	1440181476736	180.973	161.905			199.813	160.549
00:00:02.097	1440181476744			162.132	163.261		
00:00:02.106	1440181476753	181.001	162.605			199.853	161.132
00:00:02.114	1440181476761			162.149	164.078		
00:00:02.122	1440181476769	181.022	162.015			199.868	160.591
00:00:02.130	1440181476777			162.177	163.44		
00:00:02.139	1440181476786	181.032	162.57			199.86	161.082
00:00:02.147	1440181476794			162.204	164.057		
00:00:02.156	1440181476803	181.06	161.989			199.915	160.552
00:00:02.164	1440181476811			162.206	163.426		
00:00:02.172	1440181476819	181.027	162.616			199.766	161.113
00:00:02.180	1440181476827			162.288	164.12		
00:00:02.189	1440181476836	181.065	162.084			199.914	160.655
00:00:02.197	1440181476844			162.216	163.513		
00:00:02.206	1440181476853	180.978	162.606			199.741	161.071
00:00:02.214	1440181476861			162.215	164.142		
00:00:02.222	1440181476869	181.029	162.07			199.844	160.592
00:00:02.230	1440181476877			162.214	163.549		
00:00:02.239	1440181476886	181.065	162.652			199.926	161.102
00:00:02.247	1440181476894			162.205	164.201		
00:00:02.256	1440181476903	181	162.05			199.838	160.569
00:00:02.264	1440181476911			162.162	163.53		
00:00:02.272	1440181476919	180.952	162.625			199.79	161.085
00:00:02.280	1440181476927			162.114	164.166		
00:00:02.289	1440181476936	180.976	162.129			199.785	160.666
00:00:02.297	1440181476944			162.167	163.591		
00:00:02.306	1440181476953	181.037	162.674			199.936	161.128
00:00:02.314	1440181476961			162.137	164.221		
00:00:02.322	1440181476969	181.001	162.12			199.809	160.6
00:00:02.330	1440181476977			162.194	163.64		
00:00:02.339	1440181476986	181.068	162.833			199.928	161.36
00:00:02.347	1440181476994			162.208	164.306		
00:00:02.356	1440181477003	180.937	162.137			199.763	160.635
