
Trajectories
120
,,Head:RForeHead,,,Head:RTemple,,,Head:LForeHead,,,Head:LTemple,,,Head:REye,,,Head:LEye,,,CalibrationPane:DLabCal1,,,CalibrationPane:DLabCal2,,,CalibrationPane:DLabCal3,,,CalibrationPane:DLabCal4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
35,0,-129.72,213.653,1695.74,-221.916,206.887,1642.96,-87.7065,327.442,1704.83,-153.931,402.28,1655.75,-105.85,235.237,1616.38,-75.9881,312.755,1626.06,412.112,225.967,1634.87,324.792,-18.2461,1635.69,317.315,-16.5429,1433.5,405.618,226.747,1434.34
36,0,-129.726,213.648,1695.75,-221.92,206.875,1642.97,-87.7208,327.451,1704.84,-153.952,402.268,1655.75,-105.858,235.24,1616.38,-75.9727,312.759,1626.06,412.111,225.977,1634.86,324.781,-18.237,1635.69,317.303,-16.5303,1433.49,405.596,226.759,1434.33
37,0,-129.728,213.667,1695.77,-221.901,206.858,1642.99,-87.7241,327.462,1704.83,-153.967,402.268,1655.75,-105.851,235.241,1616.38,-75.9985,312.768,1626.07,412.102,225.969,1634.86,324.775,-18.2372,1635.68,317.313,-16.5429,1433.49,405.603,226.753,1434.32
38,0,-129.725,213.675,1695.78,-221.894,206.857,1642.99,-87.7301,327.464,1704.84,-153.959,402.282,1655.76,-105.838,235.24,1616.39,-76.013,312.77,1626.07,412.09,225.969,1634.87,324.565,-18.2263,1635.95,317.313,-16.5453,1433.5,405.605,226.754,1434.33
39,0,-129.757,213.719,1695.76,-221.896,206.842,1642.99,-87.7425,327.478,1704.84,-153.97,402.284,1655.75,-105.84,235.243,1616.38,-76.0333,312.779,1626.08,412.101,225.976,1634.87,324.767,-18.2391,1635.69,317.31,-16.5424,1433.49,405.602,226.758,1434.33
40,0,-129.706,213.679,1695.77,-221.882,206.829,1642.99,-87.7503,327.489,1704.84,-154.012,402.257,1655.74,-105.832,235.249,1616.39,-76.0282,312.781,1626.09,412.114,225.966,1634.86,324.782,-18.2353,1635.68,317.318,-16.54,1433.49,405.603,226.756,1434.32
41,0,-129.696,213.673,1695.77,-221.754,206.756,1642.85,-87.762,327.491,1704.84,-154.008,402.272,1655.76,-105.831,235.254,1616.39,-76.0461,312.793,1626.09,412.115,225.972,1634.87,324.785,-18.2464,1635.69,317.322,-16.5404,1433.48,405.599,226.765,1434.33
42,0,-129.701,213.666,1695.77,-221.761,206.741,1642.85,-87.7649,327.48,1704.85,-154.035,402.254,1655.77,-105.836,235.244,1616.4,-76.0569,312.799,1626.1,412.111,225.968,1634.86,324.796,-18.2487,1635.68,317.319,-16.5395,1433.49,405.594,226.753,1434.34
43,0,-129.675,213.651,1695.77,-221.856,206.799,1642.99,-87.7774,327.492,1704.84,-154.055,402.243,1655.76,-105.826,235.254,1616.41,-76.056,312.805,1626.09,412.133,225.963,1634.84,324.804,-18.2427,1635.68,317.325,-16.5425,1433.49,405.606,226.751,1434.32
44,0,-129.676,213.634,1695.78,-221.849,206.788,1642.99,-87.7755,327.475,1704.85,-154.057,402.232,1655.78,-105.824,235.246,1616.41,-76.0521,312.803,1626.1,412.136,225.967,1634.86,324.81,-18.2421,1635.69,317.314,-16.5337,1433.51,405.615,226.764,1434.33
45,0,-129.676,213.621,1695.77,-221.856,206.766,1643,-87.7854,327.47,1704.86,-154.079,402.196,1655.77,-105.831,235.236,1616.39,-76.0464,312.793,1626.1,412.129,225.949,1634.87,324.827,-18.2525,1635.69,317.317,-16.549,1433.5,405.619,226.749,1434.33
46,0,-129.673,213.608,1695.77,-221.74,206.674,1642.85,-87.7936,327.451,1704.86,-154.074,402.223,1655.78,-105.831,235.207,1616.4,-76.0653,312.777,1626.09,412.148,225.97,1634.85,324.819,-18.2396,1635.67,317.337,-16.5446,1433.48,405.61,226.747,1434.32
47,0,-129.661,213.577,1695.76,-221.738,206.669,1642.85,-87.7954,327.428,1704.86,-154.057,402.198,1655.81,-105.83,235.205,1616.4,-76.0656,312.766,1626.1,412.153,225.978,1634.85,324.829,-18.245,1635.68,317.327,-16.5441,1433.49,405.621,226.773,1434.32
48,0,-129.667,213.557,1695.75,-221.747,206.653,1642.85,-87.7903,327.407,1704.86,-154.061,402.189,1655.81,-105.826,235.186,1616.39,-76.0675,312.754,1626.11,412.117,225.972,1634.87,324.827,-18.243,1635.69,317.316,-16.5298,1433.51,405.599,226.769,1434.34
49,0,-129.665,213.53,1695.74,-221.736,206.625,1642.83,-87.784,327.373,1704.86,-154.069,402.171,1655.81,-105.825,235.167,1616.4,-76.0632,312.736,1626.09,412.142,225.963,1634.85,324.819,-18.2402,1635.68,317.322,-16.5367,1433.49,405.611,226.765,1434.32
50,0,-129.671,213.523,1695.73,-221.746,206.614,1642.83,-87.7842,327.346,1704.84,-154.056,402.121,1655.8,-105.837,235.155,1616.38,-76.0588,312.732,1626.1,412.126,225.973,1634.86,324.814,-18.2345,1635.68,317.309,-16.5289,1433.51,405.6,226.763,1434.32
51,0,-129.66,213.498,1695.72,-221.854,206.658,1642.96,-87.7776,327.319,1704.84,-154.036,402.103,1655.8,-105.828,235.136,1616.37,-76.0498,312.718,1626.09,412.113,225.964,1634.87,324.804,-18.2335,1635.69,317.313,-16.5371,1433.5,405.582,226.77,1434.34
52,0,-129.659,213.466,1695.71,-221.849,206.637,1642.97,-87.7686,327.282,1704.84,-154.057,402.084,1655.81,-105.828,235.103,1616.38,-76.0732,312.695,1626.08,412.11,225.979,1634.85,324.802,-18.2343,1635.68,317.312,-16.5309,1433.49,405.602,226.769,1434.32
53,0,-129.668,213.447,1695.7,-221.854,206.625,1642.96,-87.7637,327.255,1704.84,-154.042,402.061,1655.8,-105.827,235.07,1616.37,-76.0631,312.66,1626.07,412.095,225.982,1634.85,324.79,-18.2342,1635.68,317.291,-16.5342,1433.5,405.585,226.77,1434.31
54,0,-129.651,213.404,1695.71,-221.849,206.601,1642.96,-87.7442,327.221,1704.84,-154.018,402.042,1655.81,-105.839,235.034,1616.37,-76.0804,312.652,1626.07,412.089,225.983,1634.87,324.76,-18.2295,1635.69,317.305,-16.5406,1433.49,405.58,226.757,1434.33
55,0,-129.659,213.383,1695.69,-221.858,206.578,1642.96,-87.7334,327.183,1704.83,-154.012,402.03,1655.83,-105.832,235.007,1616.36,-76.0456,312.625,1626.07,412.07,225.978,1634.86,324.541,-18.2196,1635.94,317.304,-16.5515,1433.49,405.568,226.762,1434.32
56,0,-129.658,213.369,1695.66,-221.856,206.559,1642.94,-87.7213,327.146,1704.83,-154.007,402.02,1655.84,-105.827,234.984,1616.35,-76.0644,312.597,1626.07,412.038,225.995,1634.85,324.531,-18.2111,1635.93,317.31,-16.5567,1433.47,405.553,226.757,1434.32
57,0,-129.635,213.344,1695.64,-221.845,206.537,1642.94,-87.7105,327.113,1704.83,-153.992,402,1655.86,-105.832,234.96,1616.34,-76.0524,312.581,1626.06,412.021,225.989,1634.87,324.5,-18.209,1635.95,317.283,-16.5353,1433.5,405.541,226.763,1434.35
58,0,-129.691,213.388,1695.6,-221.853,206.518,1642.93,-87.6976,327.077,1704.82,-153.992,401.983,1655.86,-105.83,234.937,1616.33,-76.056,312.567,1626.05,411.997,225.999,1634.86,324.474,-18.2023,1635.95,317.303,-16.5573,1433.46,405.535,226.762,1434.33
59,0,-129.638,213.292,1695.61,-221.855,206.501,1642.92,-87.6825,327.04,1704.8,-153.983,401.966,1655.87,-105.827,234.912,1616.32,-76.0435,312.547,1626.05,412.004,225.991,1634.84,324.465,-18.2037,1635.93,317.301,-16.5523,1433.47,405.544,226.754,1434.31
60,0,-129.625,213.267,1695.6,-221.852,206.469,1642.92,-87.668,327.013,1704.8,-153.956,401.936,1655.88,-105.829,234.891,1616.32,-76.0198,312.509,1626.03,411.981,225.989,1634.87,324.459,-18.2069,1635.95,317.288,-16.5457,1433.48,405.55,226.757,1434.34
61,0,-129.617,213.252,1695.59,-221.845,206.458,1642.91,-87.6518,326.981,1704.79,-153.952,401.912,1655.86,-105.822,234.867,1616.31,-75.9998,312.483,1626.01,411.993,225.989,1634.87,324.451,-18.2039,1635.97,317.296,-16.5594,1433.48,405.549,226.764,1434.33
