rec_time	UTC	Dikablis Professional_Eye Data_Original_Left Eye_Pupil X	Dikablis Professional_Eye Data_Original_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Original_Right Eye_Pupil X	Dikablis Professional_Eye Data_Original_Right Eye_Pupil Y
00:00:03.571	1443463503423			205.06	153.261
00:00:03.583	1443463503435	164.984	159.69		
00:00:03.588	1443463503440			204.879	153.783
00:00:03.600	1443463503452	165.096	160.331		
00:00:03.604	1443463503456			204.987	153.218
00:00:03.617	1443463503469	164.877	159.714		
00:00:03.621	1443463503473			205.006	153.758
00:00:03.633	1443463503485	164.916	160.26		
00:00:03.637	1443463503489				
00:00:03.638	1443463503490			205.044	153.191
00:00:03.650	1443463503502	165.015	159.612		
00:00:03.654	1443463503506			204.881	153.738
00:00:03.667	1443463503519	165.032	160.331		
00:00:03.671	1443463503523			205.567	153.836
00:00:03.683	1443463503535	165.276	160.311		
00:00:03.688	1443463503540			205.567	153.836
00:00:03.700	1443463503552	165.276	160.311		
00:00:03.704	1443463503556			205.567	153.836
00:00:03.717	1443463503569	165.276	160.311		
00:00:03.721	1443463503573			205.567	153.836
00:00:03.733	1443463503585	165.276	160.311		
00:00:03.737	1443463503589				
00:00:03.738	1443463503590			205.153	153.31
00:00:03.750	1443463503602	164.524	159.706		
00:00:03.754	1443463503606			204.533	153.981
00:00:03.767	1443463503619	164.71	160.398		
00:00:03.771	1443463503623			204.636	153.387
00:00:03.783	1443463503635	164.728	159.733		
00:00:03.788	1443463503640			204.672	153.927
00:00:03.800	1443463503652	164.642	160.354		
00:00:03.804	1443463503656			204.555	153.333
00:00:03.817	1443463503669	164.676	159.791		
00:00:03.821	1443463503673			204.679	154.009
00:00:03.833	1443463503685	164.693	160.453		
00:00:03.837	1443463503689				
00:00:03.838	1443463503690			204.721	153.389
00:00:03.850	1443463503702	164.726	159.729		
00:00:03.854	1443463503706			204.771	153.973
00:00:03.867	1443463503719	164.673	160.333		
00:00:03.871	1443463503723			204.647	153.356
00:00:03.883	1443463503735	164.604	159.739		
00:00:03.888	1443463503740			204.828	153.939
00:00:03.900	1443463503752	164.673	160.334		
00:00:03.904	1443463503756			204.717	153.376
00:00:03.917	1443463503769	164.567	159.732		
00:00:03.921	1443463503773			204.751	154.01
00:00:03.933	1443463503785	164.527	160.38		
00:00:03.937	1443463503789				
00:00:03.938	1443463503790			204.693	153.346
00:00:03.950	1443463503802	164.618	159.755		
00:00:03.954	1443463503806			204.838	153.957
00:00:03.967	1443463503819	164.649	160.295		
00:00:03.971	1443463503823			204.716	153.401
00:00:03.983	1443463503835	164.672	159.825		
00:00:03.988	1443463503840			204.864	153.858
00:00:04.000	1443463503852	164.62	160.331		
00:00:04.004	1443463503856			204.691	153.398
00:00:04.017	1443463503869	164.736	159.665		
00:00:04.021	1443463503873			204.812	153.907
00:00:04.033	1443463503885	164.699	160.368		
00:00:04.037	1443463503889				
00:00:04.038	1443463503890			204.734	153.397
00:00:04.050	1443463503902	165.246	159.762		
00:00:04.054	1443463503906			205.343	153.988
00:00:04.067	1443463503919	165.148	160.406		
00:00:04.071	1443463503923			204.908	153.383
00:00:04.083	1443463503935	164.609	159.766		
00:00:04.088	1443463503940			204.664	153.908
00:00:04.100	1443463503952	164.835	160.348		
00:00:04.104	1443463503956			204.78	153.324
00:00:04.117	1443463503969	164.71	159.784		
00:00:04.121	1443463503973			204.831	153.853
00:00:04.133	1443463503985	164.802	160.265		
00:00:04.137	1443463503989				
00:00:04.138	1443463503990			204.803	153.361
00:00:04.150	1443463504002	164.696	159.716		
00:00:04.154	1443463504006			204.785	153.746
00:00:04.167	1443463504019	164.853	160.289		
00:00:04.171	1443463504023			204.829	153.285
00:00:04.183	1443463504035	164.954	159.62		
00:00:04.188	1443463504040			204.907	153.725
00:00:04.200	1443463504052	164.833	160.303		
00:00:04.204	1443463504056			204.856	153.258
00:00:04.217	1443463504069	164.797	159.678		
00:00:04.221	1443463504073			204.761	153.798
00:00:04.233	1443463504085	164.763	160.267		
00:00:04.237	1443463504089				
00:00:04.238	1443463504090			204.734	153.298
00:00:04.250	1443463504102	164.739	159.665		
00:00:04.254	1443463504106			204.821	153.764
00:00:04.267	1443463504119	164.777	160.308		
00:00:04.271	1443463504123			204.785	153.251
00:00:04.283	1443463504135	164.851	159.638		
00:00:04.288	1443463504140			204.82	153.813
00:00:04.300	1443463504152	164.932	160.192		
00:00:04.304	1443463504156			204.847	153.203
00:00:04.317	1443463504169	165.082	159.572		
00:00:04.321	1443463504173			204.962	153.753
00:00:04.333	1443463504185	165.082	160.219		
00:00:04.337	1443463504189				
00:00:04.338	1443463504190			204.988	153.243
00:00:04.350	1443463504202	165.001	159.464		
00:00:04.354	1443463504206			204.985	153.71
00:00:04.367	1443463504219	165.028	160.298		
00:00:04.371	1443463504223			204.966	153.285
00:00:04.383	1443463504235	165.158	159.544		
00:00:04.388	1443463504240			204.995	153.739
00:00:04.400	1443463504252	165.047	160.238		
00:00:04.404	1443463504256			205.034	153.27
00:00:04.417	1443463504269	165.04	159.61		
00:00:04.421	1443463504273			205	153.846
00:00:04.433	1443463504285	165.058	160.262		
00:00:04.437	1443463504289				
00:00:04.438	1443463504290			205.046	153.317
00:00:04.450	1443463504302	165.153	159.548		
00:00:04.454	1443463504306			205.082	153.799
00:00:04.467	1443463504319	165.163	160.217		
00:00:04.471	1443463504323			205.013	153.309
00:00:04.483	1443463504335	165.097	159.489		
00:00:04.488	1443463504340			205.157	153.746
00:00:04.500	1443463504352	165.104	160.148		
00:00:04.504	1443463504356			204.997	153.373
00:00:04.517	1443463504369	165.1	159.498		
00:00:04.521	1443463504373			205.199	153.84
00:00:04.533	1443463504385	165.08	160.062		
00:00:04.537	1443463504389				
00:00:04.538	1443463504390			205.052	153.079
00:00:04.550	1443463504402	165.006	159.398		
00:00:04.554	1443463504406			205.178	153.574
00:00:04.567	1443463504419	165.231	159.895		
00:00:04.571	1443463504423			205.145	153.04
00:00:04.583	1443463504435	165.162	159.285		
00:00:04.588	1443463504440			205.183	153.546
00:00:04.600	1443463504452	165.18	159.916		
00:00:04.604	1443463504456			205.093	152.999
00:00:04.617	1443463504469	165.184	159.276		
00:00:04.621	1443463504473			205.07	153.535
00:00:04.633	1443463504485	165.189	159.913		
00:00:04.637	1443463504489				
00:00:04.638	1443463504490			205.032	153.077
00:00:04.650	1443463504502	165.065	159.363		
00:00:04.654	1443463504506			205.038	153.669
00:00:04.667	1443463504519	165.307	159.999		
00:00:04.671	1443463504523			205.023	153.108
00:00:04.683	1443463504535	165.194	159.245		
00:00:04.688	1443463504540			205.032	153.653
