Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
26,0,-167.863,234.037,1033.19,-175.627,152.213,985.363,-184.146,69.9874,937.686,-187.994,42.4936,921.954,,,,,,,,,,,,,-553.917,192.612,819.752,-520.611,241.953,835.018,-541.511,197.639,781.357,-508.744,245.793,797.155,-527.225,370.487,1653.29,-628.031,334.5,1626.92,-518.961,490.542,1661.32,-611.773,542.089,1637.17
27,0,-168.013,233.722,1033.29,-176.231,151.983,985.493,-185.176,69.7698,937.756,-189.191,42.3151,921.984,,,,,,,,,,,,,-554.043,192.752,819.618,-520.699,242.026,835.014,-541.625,197.768,781.256,-508.846,245.887,797.127,-527.221,370.481,1653.28,-628.035,334.535,1626.92,-518.936,490.518,1661.31,-611.747,542.089,1637.16
28,0,-168.297,233.376,1033.48,-176.968,151.717,985.569,-186.361,69.6018,937.81,-190.503,42.1732,921.969,,,,,,,,,,,,,-554.136,193.104,819.49,-520.77,242.133,835.009,-541.565,198.333,781.071,-508.929,246.026,797.102,-527.202,370.476,1653.26,-628.037,334.513,1626.9,-518.91,490.513,1661.27,-611.722,542.088,1637.16
29,0,-168.551,233.119,1033.56,-177.82,151.512,985.718,-187.656,69.5103,937.848,-192.028,42.0619,921.806,,,,,,,,,,,,,-554.279,193.076,819.58,-520.838,242.284,834.985,-541.544,198.747,780.969,-509.013,246.169,797.065,-527.185,370.45,1653.25,-627.989,334.547,1626.87,-518.888,490.503,1661.27,-611.675,542.08,1637.14
30,0,-168.863,232.896,1033.72,-178.672,151.421,985.895,-189.14,69.4512,937.952,-193.709,42.1423,922.015,,,,,,,,,,,,,-554.374,193.247,819.556,-520.9,242.498,834.996,-541.589,199.016,780.925,-509.055,246.296,797.079,-527.2,370.445,1653.22,-627.974,334.56,1626.82,-518.871,490.488,1661.25,-611.658,542.082,1637.14
31,0,-169.151,232.827,1033.89,-179.558,151.292,985.966,-190.588,69.5079,937.997,-195.359,42.2567,922,,,,,,,,,,,,,-554.453,193.415,819.577,-520.943,242.763,835.013,-541.608,199.189,780.895,-509.044,246.487,797.156,-527.148,370.4,1653.24,-628.03,334.554,1626.89,-518.84,490.477,1661.24,-611.625,542.07,1637.13
32,0,-169.412,232.733,1034,-180.355,151.241,986.082,-191.908,69.57,938.057,-196.881,42.3954,922.086,,,,,,,,,,,,,-554.473,193.624,819.541,-520.984,243.05,834.92,-541.616,199.464,780.907,-509.033,246.622,797.208,-527.155,370.405,1653.23,-628.003,334.536,1626.86,-518.818,490.461,1661.24,-611.594,542.06,1637.11
33,0,-169.589,232.663,1034.05,-180.979,151.263,986.104,-192.98,69.6617,938.112,-198.149,42.4884,922.088,,,,,,,,,,,,,-554.37,194.125,819.284,-520.979,243.313,834.958,-541.617,199.75,780.976,-509.045,246.855,797.245,-527.152,370.402,1653.22,-628.285,334.559,1626.79,-518.8,490.446,1661.21,-611.588,542.062,1637.11
34,0,-169.705,232.608,1034.06,-181.47,151.272,986.12,-193.859,69.7207,938.131,-199.129,42.5922,922.081,,,,,,,,,,,,,-554.544,193.859,819.692,-521.002,243.548,834.981,-541.907,198.996,781.242,-509.022,247.062,797.29,-527.161,370.371,1653.21,-627.995,334.54,1626.84,-518.787,490.423,1661.21,-611.549,542.049,1637.1
35,0,-169.765,232.536,1034.02,-181.734,151.238,986.08,-194.42,69.714,938.074,-199.746,42.6277,922.015,,,,,,,,,,,,,-554.457,194.24,819.607,-520.989,243.769,835,-541.825,199.696,781.144,-508.984,247.368,797.3,-527.143,370.354,1653.2,-628.01,334.51,1626.85,-518.753,490.397,1661.21,-611.513,542.036,1637.1
