rec_time	UTC	Dikablis Professional_Eye Data_Original_Pupil X	Dikablis Professional_Eye Data_Original_Pupil Y	Dikablis Professional_Eye Data_Original_Left Eye_Pupil X	Dikablis Professional_Eye Data_Original_Left Eye_Pupil Y	Dikablis Professional_Eye Data_Original_Right Eye_Pupil X	Dikablis Professional_Eye Data_Original_Right Eye_Pupil Y
00:00:02.418	1440787443764	198.485	141.345	176.07	138.138		
00:00:02.421	1440787443767					220.901	144.551
00:00:02.435	1440787443781	198.485	141.345	176.07	138.138		
00:00:02.438	1440787443784					220.901	144.551
00:00:02.447	1440787443793						
00:00:02.451	1440787443797	198.485	141.345	176.07	138.138		
00:00:02.454	1440787443800					220.901	144.551
00:00:02.468	1440787443814	198.485	141.345	176.07	138.138		
00:00:02.471	1440787443817					220.901	144.551
00:00:02.480	1440787443826						
00:00:02.485	1440787443831	198.485	141.345	176.07	138.138		
00:00:02.488	1440787443834					220.901	144.551
00:00:02.501	1440787443847	198.485	141.345	176.07	138.138		
00:00:02.504	1440787443850					220.901	144.551
00:00:02.513	1440787443859						
00:00:02.518	1440787443864	198.485	141.345	176.07	138.138		
00:00:02.521	1440787443867					220.901	144.551
00:00:02.535	1440787443881	198.485	141.345	176.07	138.138		
00:00:02.538	1440787443884					220.901	144.551
00:00:02.547	1440787443893						
00:00:02.551	1440787443897	198.485	141.345	176.07	138.138		
00:00:02.554	1440787443900					220.901	144.551
00:00:02.568	1440787443914	204.055	146.678	182.329	143.968		
00:00:02.571	1440787443917					225.78	149.388
00:00:02.580	1440787443926						
00:00:02.585	1440787443931	206.574	152.044	185.222	149.69		
00:00:02.588	1440787443934					227.926	154.399
00:00:02.601	1440787443947	208.968	155.766	187.848	153.934		
00:00:02.604	1440787443950					230.088	157.597
00:00:02.613	1440787443959						
00:00:02.618	1440787443964	211.306	159.854	190.512	158.285		
00:00:02.621	1440787443967					232.101	161.424
00:00:02.635	1440787443981	211.314	161.25	190.568	159.747		
00:00:02.638	1440787443984					232.059	162.753
00:00:02.647	1440787443993						
00:00:02.651	1440787443997	210.605	161.454	189.982	159.559		
00:00:02.654	1440787444000					231.229	163.349
00:00:02.668	1440787444014	209.237	159.088	188.478	156.871		
00:00:02.671	1440787444017					229.995	161.305
00:00:02.680	1440787444026						
00:00:02.685	1440787444031	207.946	157.609	187.187	155.271		
00:00:02.688	1440787444034					228.704	159.948
00:00:02.701	1440787444047	206.442	154.659	185.552	151.839		
00:00:02.704	1440787444050					227.332	157.479
00:00:02.713	1440787444059						
00:00:02.718	1440787444064	206.096	155.407	187.776	154.885		
00:00:02.721	1440787444067					224.416	155.928
00:00:02.735	1440787444081	213.827	163.84	193.54	160.969		
00:00:02.738	1440787444084					234.114	166.71
00:00:02.747	1440787444093						
00:00:02.751	1440787444097	216.73	168.912	196.562	165.515		
00:00:02.754	1440787444100					236.897	172.309
00:00:02.768	1440787444114	219.367	171.197	199.446	168.08		
00:00:02.771	1440787444117					239.287	174.315
00:00:02.780	1440787444126						
00:00:02.785	1440787444131	218.92	171.837	199.321	168.815		
00:00:02.788	1440787444134					238.519	174.858
00:00:02.801	1440787444147	216.868	167.629	196.984	164.794		
