Trajectories
120
,,Wand:Proximal,,,Wand:Middle,,,Wand:Distal,,,Wand:Tip,,,PastaBox:Top,,,PastaBox:Middle,,,PastaBox:Bottom,,,PastaBox:Side,,,HandRB:Hand1,,,HandRB:Hand2,,,HandRB:Hand3,,,HandRB:Hand4,,,Dikablis:Head1,,,Dikablis:Head2,,,Dikablis:Head3,,,Dikablis:Head4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
32,0,,,,,,,,,,,,,-559.54,-168.932,955.314,-542.582,-213.751,895.887,-553.994,-214.197,805.939,-528.639,-151.611,783.487,-266.518,149.008,962.469,-276.31,93.6614,941.888,-304.618,158.365,956.661,-314.628,103.031,936.331,-323.071,357.209,1619.67,-427.56,321.215,1613.36,-313.352,476.963,1629.95,-409.192,528.344,1626.17
33,0,,,,,,,,,,,,,-559.553,-168.934,955.325,-542.573,-213.747,895.886,-553.991,-214.209,805.943,-528.662,-151.605,783.457,-266.517,149.006,962.471,-276.309,93.6486,941.855,-304.593,158.555,956.503,-314.631,103.101,936.241,-323.057,357.19,1619.7,-427.514,321.292,1613.38,-313.356,476.96,1629.94,-409.18,528.349,1626.16
34,0,,,,,,,,,,,,,-559.535,-168.93,955.322,-542.565,-213.74,895.891,-553.978,-214.185,805.929,-528.613,-151.617,783.499,-266.505,148.987,962.463,-276.288,93.644,941.839,-304.584,158.558,956.488,-314.615,103.094,936.237,-323.049,357.207,1619.69,-427.539,321.156,1613.39,-313.349,476.975,1629.93,-409.183,528.349,1626.16
35,0,,,,,,,,,,,,,-559.538,-168.927,955.31,-542.572,-213.747,895.885,-553.99,-214.181,805.926,-528.654,-151.6,783.471,-266.516,148.973,962.448,-276.297,93.6278,941.837,-304.585,158.535,956.469,-314.613,103.068,936.225,-323.024,357.208,1619.68,-427.581,321.296,1613.48,-313.323,476.974,1629.93,-409.175,528.347,1626.16
36,0,,,,,,,,,,,,,-559.53,-168.915,955.313,-542.57,-213.747,895.894,-553.993,-214.217,805.936,-528.661,-151.603,783.468,-266.526,148.956,962.459,-276.294,93.6152,941.835,-304.62,158.325,956.623,-314.618,103.054,936.208,-323.008,357.204,1619.69,-427.524,321.147,1613.34,-313.312,476.987,1629.93,-409.169,528.347,1626.16
37,0,,,,,,,,,,,,,-559.532,-168.914,955.314,-542.566,-213.742,895.889,-553.989,-214.19,805.926,-528.691,-151.606,783.443,-266.528,148.95,962.443,-276.297,93.6036,941.832,-304.603,158.525,956.478,-314.622,103.042,936.211,-323.067,357.248,1619.69,-427.488,321.201,1613.53,-313.309,477,1629.91,-409.157,528.339,1626.15
38,0,,,,,,,,,,,,,-559.536,-168.931,955.307,-542.558,-213.74,895.888,-554,-214.194,805.926,-528.66,-151.596,783.459,-266.516,148.937,962.427,-276.293,93.6048,941.814,-304.589,158.517,956.461,-314.619,103.045,936.184,-323.045,357.257,1619.7,-427.414,321.145,1613.37,-313.294,477.017,1629.89,-409.146,528.346,1626.15
39,0,,,,,,,,,,,,,-559.547,-168.942,955.319,-542.57,-213.756,895.889,-553.994,-214.21,805.933,-528.638,-151.619,783.457,-266.525,148.946,962.406,-276.3,93.5944,941.793,-304.597,158.503,956.45,-314.613,103.038,936.164,-323.048,357.276,1619.7,-427.505,321.213,1613.38,-313.277,477.009,1629.91,-409.16,528.344,1626.14
40,0,,,,,,,,,,,,,-559.548,-168.934,955.32,-542.573,-213.742,895.887,-554.003,-214.211,805.94,-528.661,-151.604,783.478,-266.545,148.916,962.431,-276.317,93.5949,941.795,-304.621,158.496,956.438,-314.618,103.026,936.147,-322.944,357.246,1619.68,-427.364,321.186,1613.36,-313.275,477.036,1629.9,-409.144,528.353,1626.13
41,0,,,,,,,,,,,,,-559.548,-168.938,955.319,-542.576,-213.754,895.888,-553.994,-214.186,805.915,-528.644,-151.583,783.483,-266.555,148.945,962.396,-276.324,93.5904,941.784,-304.601,158.79,956.181,-314.634,102.905,936.252,-322.977,357.279,1619.69,-427.546,321.177,1613.64,-313.252,477.053,1629.9,-409.146,528.357,1626.13
42,0,,,,,,,,,,,,,-559.548,-168.936,955.316,-542.575,-213.749,895.879,-554.002,-214.203,805.937,-528.63,-151.618,783.476,-266.556,148.941,962.376,-276.318,93.5981,941.767,-304.621,158.487,956.405,-314.63,103.027,936.129,-323.008,357.298,1619.7,-427.464,321.318,1613.37,-313.262,477.055,1629.9,-409.148,528.36,1626.12
43,0,,,,,,,,,,,,,-559.543,-168.927,955.314,-542.583,-213.753,895.886,-553.992,-214.2,805.939,-528.64,-151.619,783.481,-266.554,148.933,962.383,-276.319,93.5885,941.764,-304.634,158.498,956.389,-314.639,102.927,936.188,-322.978,357.321,1619.7,-427.422,321.224,1613.4,-313.242,477.074,1629.91,-409.152,528.37,1626.12
44,0,,,,,,,,,,,,,-559.536,-168.93,955.319,-542.552,-213.738,895.886,-553.997,-214.186,805.928,-528.649,-151.614,783.469,-266.563,148.938,962.362,-276.333,93.5946,941.748,-304.646,158.502,956.374,-314.66,102.921,936.186,-322.865,357.288,1619.72,-427.317,321.263,1613.4,-313.237,477.094,1629.91,-409.135,528.369,1626.1
45,0,,,,,,,,,,,,,-559.535,-168.927,955.33,-542.565,-213.735,895.88,-553.992,-214.193,805.945,-528.634,-151.606,783.492,-266.585,148.944,962.363,-276.353,93.6037,941.733,-304.65,158.508,956.374,-314.684,102.918,936.115,-322.86,357.296,1619.73,-427.313,321.292,1613.47,-313.235,477.109,1629.92,-409.153,528.382,1626.12
46,0,,,,,,,,,,,,,-559.538,-168.936,955.326,-542.563,-213.743,895.892,-553.994,-214.202,805.94,-528.653,-151.605,783.468,-266.591,148.954,962.333,-276.356,93.6052,941.704,-304.647,158.504,956.36,-314.684,102.928,936.155,-322.86,357.314,1619.74,-427.286,321.271,1613.42,-313.241,477.111,1629.93,-409.147,528.381,1626.11
47,0,,,,,,,,,,,,,-559.539,-168.923,955.316,-542.567,-213.743,895.883,-553.997,-214.196,805.935,-528.659,-151.599,783.455,-266.589,148.959,962.329,-276.353,93.63,941.679,-304.655,158.522,956.355,-314.682,102.964,936.159,-322.913,357.363,1619.75,-426.893,321.217,1613.2,-313.226,477.132,1629.94,-409.147,528.384,1626.11
48,0,,,,,,,,,,,,,-559.537,-168.924,955.319,-542.578,-213.748,895.888,-553.985,-214.187,805.931,-528.632,-151.616,783.484,-266.597,148.959,962.339,-276.358,93.6218,941.692,-304.665,158.532,956.348,-314.681,103.083,936.043,-322.907,357.37,1619.78,-427.133,321.342,1613.35,-313.234,477.147,1629.96,-409.157,528.396,1626.11
49,0,,,,,,,,,,,,,-559.541,-168.929,955.321,-542.57,-213.749,895.877,-554,-214.195,805.925,-528.648,-151.615,783.469,-266.606,148.96,962.333,-276.361,93.6382,941.682,-304.657,158.542,956.352,-314.694,103.074,936.049,-322.895,357.39,1619.78,-427.145,321.205,1613.48,-313.24,477.153,1629.96,-409.174,528.392,1626.11
50,0,,,,,,,,,,,,,-559.541,-168.926,955.326,-542.576,-213.746,895.889,-554.005,-214.196,805.941,-528.63,-151.618,783.483,-266.596,148.967,962.327,-276.355,93.6366,941.672,-304.664,158.558,956.339,-314.692,103.092,936.036,-322.916,357.41,1619.78,-427.13,321.154,1613.38,-313.243,477.156,1629.97,-409.186,528.391,1626.11
51,0,,,,,,,,,,,,,-559.539,-168.923,955.333,-542.577,-213.746,895.893,-553.993,-214.195,805.943,-528.64,-151.61,783.484,-266.587,148.969,962.321,-276.363,93.649,941.652,-304.66,158.579,956.322,-314.693,102.991,936.136,-322.834,357.393,1619.8,-427.127,321.271,1613.41,-313.242,477.162,1629.98,-409.184,528.397,1626.12
52,0,,,,,,,,,,,,,-559.534,-168.918,955.319,-542.575,-213.746,895.89,-553.995,-214.205,805.939,-528.648,-151.612,783.473,-266.601,148.971,962.318,-276.369,93.6481,941.643,-304.666,158.571,956.32,-314.699,103.096,935.986,-322.83,357.384,1619.83,-427.06,321.239,1613.36,-313.24,477.169,1630.01,-409.175,528.4,1626.13
53,0,,,,,,,,,,,,,-559.541,-168.931,955.331,-542.56,-213.742,895.886,-553.984,-214.199,805.935,-528.637,-151.606,783.479,-266.596,148.966,962.314,-276.362,93.6405,941.638,-304.659,158.582,956.316,-314.696,102.956,936.251,-322.841,357.404,1619.84,-427.078,321.259,1613.39,-313.23,477.171,1630.02,-409.179,528.395,1626.13
54,0,,,,,,,,,,,,,-559.531,-168.922,955.311,-542.566,-213.746,895.889,-553.987,-214.197,805.935,-528.638,-151.609,783.482,-266.598,148.969,962.314,-276.368,93.6535,941.624,-304.658,158.566,956.317,-314.698,102.991,936.068,-322.837,357.393,1619.87,-427.164,321.19,1613.4,-313.229,477.177,1630.03,-409.171,528.393,1626.14
55,0,,,,,,,,,,,,,-559.537,-168.926,955.318,-542.571,-213.741,895.889,-554.003,-214.208,805.939,-528.633,-151.608,783.485,-266.591,148.963,962.296,-276.358,93.6464,941.63,-304.642,158.586,956.314,-314.69,103.108,935.979,-322.808,357.366,1619.9,-427.194,321.277,1613.37,-313.241,477.182,1630.05,-409.181,528.398,1626.15
56,0,,,,,,,,,,,,,-559.542,-168.932,955.323,-542.566,-213.739,895.885,-553.986,-214.185,805.931,-528.62,-151.605,783.491,-266.579,148.968,962.289,-276.351,93.6515,941.621,-304.647,158.595,956.313,-314.694,103.104,935.952,-322.823,357.395,1619.89,-427.166,321.315,1613.39,-313.234,477.173,1630.06,-409.186,528.407,1626.15
57,0,,,,,,,,,,,,,-559.541,-168.939,955.339,-542.57,-213.744,895.887,-553.999,-214.197,805.942,-528.632,-151.605,783.495,-266.587,148.972,962.291,-276.363,93.649,941.623,-304.641,158.589,956.309,-314.705,103.027,935.993,-322.825,357.402,1619.89,-427.139,321.146,1613.44,-313.236,477.174,1630.08,-409.178,528.394,1626.15
58,0,,,,,,,,,,,,,-559.547,-168.93,955.31,-542.568,-213.746,895.883,-553.993,-214.21,805.948,-528.635,-151.603,783.493,-266.569,148.979,962.282,-276.357,93.6568,941.605,-304.628,158.592,956.309,-314.693,103.028,936.06,-322.808,357.373,1619.9,-427.131,321.257,1613.45,-313.251,477.183,1630.09,-409.186,528.39,1626.16
59,0,,,,,,,,,,,,,-559.547,-168.931,955.311,-542.575,-213.75,895.895,-553.996,-214.187,805.935,-528.674,-151.606,783.451,-266.569,148.97,962.284,-276.351,93.6566,941.595,-304.621,158.599,956.31,-314.69,103.126,935.922,-322.846,357.373,1619.94,-426.833,321.339,1613.3,-313.252,477.167,1630.1,-409.176,528.393,1626.16
60,0,,,,,,,,,,,,,-559.543,-168.936,955.324,-542.572,-213.744,895.892,-553.993,-214.196,805.94,-528.661,-151.601,783.484,-266.564,148.969,962.293,-276.356,93.6627,941.6,-304.621,158.6,956.31,-314.696,102.999,936.021,-322.835,357.377,1619.94,-427.163,321.166,1613.44,-313.239,477.172,1630.11,-409.184,528.387,1626.17
61,0,,,,,,,,,,,,,-559.535,-168.927,955.31,-542.577,-213.752,895.884,-553.993,-214.192,805.944,-528.663,-151.596,783.465,-266.568,148.99,962.294,-276.357,93.6764,941.605,-304.619,158.631,956.303,-314.693,103.154,935.921,-322.905,357.406,1619.93,-427.049,321.264,1613.45,-313.238,477.17,1630.13,-409.181,528.388,1626.19
62,0,,,,,,,,,,,,,-559.538,-168.924,955.305,-542.565,-213.737,895.885,-553.993,-214.189,805.935,-528.639,-151.607,783.485,-266.558,148.984,962.305,-276.367,93.6785,941.591,-304.611,158.633,956.301,-314.699,103.169,935.922,-322.898,357.411,1619.94,-427.095,321.219,1613.5,-313.236,477.15,1630.14,-409.18,528.386,1626.18
63,0,,,,,,,,,,,,,-559.537,-168.934,955.328,-542.571,-213.745,895.889,-554.001,-214.197,805.946,-528.64,-151.609,783.483,-266.556,148.982,962.297,-276.377,93.6751,941.593,-304.61,158.636,956.32,-314.699,103.163,935.915,-322.881,357.407,1619.96,-426.92,321.142,1613.43,-313.227,477.151,1630.16,-409.17,528.38,1626.2
64,0,,,,,,,,,,,,,-559.541,-168.94,955.316,-542.57,-213.75,895.891,-554.006,-214.205,805.937,-528.638,-151.621,783.475,-266.574,148.992,962.311,-276.381,93.6879,941.582,-304.614,158.631,956.309,-314.7,103.183,935.901,-322.9,357.402,1619.96,-427.264,321.202,1613.59,-313.225,477.152,1630.18,-409.156,528.382,1626.21
65,0,,,,,,,,,,,,,-559.543,-168.933,955.321,-542.566,-213.741,895.887,-553.98,-214.182,805.938,-528.659,-151.603,783.477,-266.565,149.015,962.284,-276.371,93.687,941.578,-304.622,158.638,956.309,-314.71,103.159,935.882,-322.871,357.416,1619.98,-427.143,321.244,1613.65,-313.212,477.145,1630.2,-409.15,528.384,1626.22
66,0,,,,,,,,,,,,,-559.547,-168.929,955.33,-542.575,-213.743,895.885,-554,-214.203,805.951,-528.669,-151.599,783.468,-266.574,149.015,962.292,-276.38,93.6927,941.58,-304.625,158.657,956.3,-314.708,103.19,935.889,-322.868,357.414,1620.01,-427.088,321.208,1613.57,-313.212,477.131,1630.23,-409.141,528.372,1626.24
67,0,,,,,,,,,,,,,-559.545,-168.939,955.323,-542.576,-213.742,895.888,-553.988,-214.188,805.927,-528.62,-151.609,783.477,-266.579,148.999,962.286,-276.391,93.679,941.58,-304.621,158.65,956.298,-314.721,103.044,935.939,-322.855,357.398,1620.04,-426.962,321.247,1613.46,-313.195,477.129,1630.26,-409.125,528.374,1626.26
68,0,,,,,,,,,,,,,-559.537,-168.926,955.329,-542.57,-213.745,895.881,-553.995,-214.196,805.939,-528.631,-151.622,783.475,-266.594,148.999,962.263,-276.399,93.6816,941.56,-304.645,158.657,956.257,-314.73,103.064,935.946,-322.847,357.402,1620.04,-426.759,321.269,1613.35,-313.178,477.136,1630.27,-409.103,528.375,1626.26
